Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y,phase
0.507952,0.341365,0.506377,0.341467,0.495627,0.341368,0.484931,0.365943,0.494104,0.363311,0.517146,0.344136,0.520141,0.368765,0.514089,0.363251,0.498773,0.368727,0.492626,0.368658,0.49719,0.385016,0.484949,0.428656,0.506422,0.371381,0.512522,0.385133,0.506436,0.428656,0.507865,0.338611,0.509503,0.336052,0.501795,0.333301,0.514032,0.335973,0.512558,0.445099,0.515588,0.4423,0.503335,0.42881,0.494139,0.445156,0.486495,0.44506,0.481859,0.431491,middle
0.481877,0.336034,0.480314,0.333285,0.471122,0.330498,0.461967,0.344225,0.47419,0.366021,0.487989,0.330541,0.495635,0.368665,0.501803,0.415124,0.481846,0.352327,0.477281,0.357805,0.486431,0.390498,0.486452,0.41502,0.484898,0.349627,0.492626,0.385051,0.498707,0.409718,0.481804,0.333217,0.481866,0.330493,0.478778,0.330499,0.4849,0.330518,0.507938,0.423265,0.507946,0.423213,0.497193,0.412438,0.49106,0.423282,0.487986,0.426074,0.484957,0.417794,middle
0.517145,0.232322,0.511008,0.224213,0.494169,0.237818,0.503345,0.289549,0.51865,0.322395,0.527866,0.210516,0.544793,0.245867,0.552414,0.278712,0.518634,0.256815,0.507938,0.264997,0.526339,0.300532,0.54476,0.352263,0.527833,0.248693,0.549302,0.286936,0.569323,0.336032,0.512507,0.226931,0.520149,0.226783,0.503339,0.224129,0.523257,0.213157,0.579979,0.346938,0.581557,0.338668,0.569273,0.349649,0.558551,0.357762,0.550852,0.360597,0.546277,0.355149,left
0.537056,0.17236,0.532434,0.172358,0.509517,0.188676,0.50634,0.270424,0.517117,0.333183,0.553947,0.158676,0.581604,0.164099,0.606052,0.207795,0.535497,0.235056,0.521767,0.24325,0.54322,0.273219,0.583058,0.341461,0.547814,0.226905,0.58152,0.286824,0.616847,0.333189,0.532414,0.164241,0.541626,0.161482,0.520244,0.161342,0.544801,0.153168,0.632138,0.352401,0.633661,0.341485,0.618329,0.341364,0.596884,0.363214,0.589186,0.368641,0.586197,0.344136,left
0.509428,0.109625,0.5095,0.117762,0.481855,0.144963,0.471177,0.221332,0.471097,0.303189,0.537094,0.0905207,0.567709,0.104205,0.593761,0.155886,0.527857,0.199652,0.511028,0.213258,0.521715,0.278692,0.572386,0.346944,0.543248,0.185939,0.578468,0.267761,0.62906,0.349612,0.501771,0.101435,0.512566,0.0959673,0.4911,0.0960267,0.521738,0.0796155,0.633709,0.385059,0.642895,0.374182,0.633675,0.355082,0.589186,0.376891,0.580003,0.382348,0.58155,0.34692,left
0.395977,0.0441244,0.414334,0.0822745,0.379121,0.109607,0.372896,0.207689,0.35914,0.297766,0.449653,0.0549584,0.495687,0.0904867,0.524841,0.158602,0.455802,0.218696,0.435825,0.22966,0.411359,0.278771,0.491039,0.406907,0.475693,0.205081,0.50952,0.314215,0.587708,0.401499,0.386739,0.0332341,0.402067,0.0278053,0.377542,0.044113,0.418949,0.0249158,0.593784,0.436973,0.603006,0.425987,0.601444,0.406888,0.477243,0.439576,0.47568,0.43416,0.506403,0.41505,left
0.360733,0.510509,0.360743,0.518677,0.360624,0.516003,0.360643,0.529588,0.359201,0.535177,0.362254,0.516062,0.363756,0.532311,0.36227,0.537902,0.36071,0.54063,0.360654,0.540602,0.357628,0.562432,0.354576,0.578844,0.362173,0.540652,0.363718,0.562411,0.363745,0.581495,0.360736,0.50774,0.360732,0.502363,0.360731,0.50777,0.362163,0.505057,0.368314,0.581538,0.368332,0.584175,0.36378,0.584235,0.356089,0.584142,0.354586,0.584226,0.354596,0.584223,left
0.471117,0.526842,0.47416,0.532368,0.472711,0.532274,0.472671,0.537839,0.469631,0.540505,0.474196,0.532458,0.47415,0.540623,0.471155,0.543346,0.47569,0.554086,0.474228,0.55409,0.468081,0.573242,0.469541,0.595198,0.475739,0.551515,0.466513,0.573212,0.468079,0.597791,0.471083,0.518831,0.471141,0.521501,0.471205,0.524189,0.472668,0.524163,0.460422,0.600623,0.463443,0.600668,0.469585,0.600597,0.461886,0.595191,0.461959,0.595114,0.469554,0.597916,middle
0.409808,0.502344,0.411315,0.507795,0.409748,0.507764,0.40668,0.516022,0.406717,0.52145,0.412893,0.507873,0.41741,0.518793,0.412848,0.524209,0.409818,0.526976,0.408248,0.526969,0.397513,0.537888,0.38981,0.557041,0.412812,0.529552,0.399072,0.540545,0.391363,0.559676,0.409798,0.499614,0.409823,0.496899,0.409791,0.4996,0.412797,0.499656,0.386774,0.56782,0.386759,0.567817,0.389839,0.562426,0.385235,0.562463,0.385237,0.562388,0.386805,0.562327,right
0.520224,0.417836,0.51714,0.423319,0.515569,0.423265,0.517155,0.431461,0.530909,0.447732,0.518693,0.423264,0.526351,0.439647,0.5309,0.445133,0.50947,0.447886,0.507956,0.447846,0.507905,0.461477,0.492596,0.472405,0.510999,0.450477,0.507899,0.46691,0.497199,0.475072,0.520189,0.41507,0.520244,0.415093,0.518614,0.412412,0.520129,0.417721,0.500244,0.488671,0.500241,0.485988,0.49262,0.472436,0.488029,0.485936,0.487975,0.480598,0.489513,0.475072,right
0.544783,0.423298,0.541659,0.431471,0.546276,0.434153,0.555449,0.447781,0.555511,0.455992,0.535537,0.428763,0.527862,0.434199,0.511024,0.423196,0.534036,0.464248,0.537094,0.466881,0.535575,0.491452,0.524785,0.499655,0.532432,0.46416,0.53243,0.486057,0.517128,0.496907,0.544799,0.423157,0.544679,0.42048,0.544736,0.420599,0.540138,0.417846,0.520182,0.507761,0.517147,0.505119,0.515609,0.494194,0.517162,0.50778,0.520209,0.50774,0.517137,0.499644,right
0.570782,0.431421,0.572344,0.431468,0.564646,0.434199,0.552406,0.447797,0.546293,0.464181,0.581544,0.428785,0.590792,0.434143,0.598388,0.450535,0.575426,0.458796,0.569327,0.461409,0.578446,0.477837,0.572314,0.507892,0.581507,0.456067,0.584587,0.480487,0.583116,0.510582,0.569227,0.428667,0.570873,0.428666,0.566204,0.428784,0.575411,0.425983,0.593788,0.51873,0.592321,0.515996,0.581561,0.513287,0.576966,0.51598,0.572381,0.515965,0.570772,0.510595,middle
0.606107,0.458726,0.607662,0.461526,0.604562,0.464177,0.595408,0.483232,0.593857,0.499669,0.612196,0.46137,0.619913,0.469679,0.618347,0.480531,0.618363,0.494151,0.616812,0.494239,0.627575,0.521474,0.649008,0.537872,0.619907,0.494116,0.629119,0.516042,0.650548,0.537793,0.606085,0.456019,0.60613,0.453323,0.606044,0.453267,0.609132,0.450622,0.652092,0.540625,0.652066,0.540626,0.652096,0.537827,0.65058,0.540619,0.647512,0.545973,0.650576,0.537841,left
0.647473,0.466883,0.652042,0.469599,0.647472,0.467063,0.64593,0.472395,0.632161,0.499594,0.653652,0.46958,0.656743,0.475149,0.656757,0.4779,0.658241,0.483263,0.656764,0.483306,0.667361,0.499631,0.67047,0.513215,0.658284,0.480525,0.667478,0.502293,0.670572,0.513319,0.645977,0.464255,0.647526,0.464303,0.64597,0.464275,0.652127,0.466783,0.67508,0.515943,0.673556,0.513257,0.673548,0.518713,0.673564,0.516062,0.673541,0.516052,0.670536,0.51603,left
0.644391,0.442358,0.645945,0.442325,0.639817,0.444979,0.63216,0.461439,0.629107,0.485948,0.652119,0.439627,0.661322,0.450554,0.661326,0.46411,0.655191,0.461384,0.652066,0.464139,0.656656,0.485916,0.662812,0.505137,0.658259,0.456067,0.670513,0.477759,0.688912,0.49427,0.642884,0.439602,0.644425,0.439596,0.642862,0.439669,0.647494,0.436924,0.688879,0.507849,0.691922,0.505059,0.691925,0.496943,0.661315,0.515978,0.658257,0.513358,0.664395,0.505112,left
0.618401,0.436833,0.622967,0.439596,0.61837,0.442286,0.612221,0.458765,0.606078,0.480577,0.629061,0.436876,0.633732,0.450542,0.638256,0.464195,0.636796,0.46425,0.632199,0.466886,0.633732,0.488803,0.642862,0.510488,0.641325,0.464135,0.65055,0.486053,0.672011,0.507727,0.616838,0.43411,0.61987,0.431406,0.615329,0.434122,0.62298,0.428685,0.670522,0.513355,0.673561,0.51058,0.675099,0.505137,0.638274,0.521419,0.636734,0.516075,0.644419,0.510467,left
0.570885,0.43682,0.578491,0.439562,0.573914,0.439611,0.570852,0.461375,0.566192,0.480533,0.581539,0.436931,0.57692,0.45598,0.567757,0.477823,0.590778,0.466888,0.589241,0.466942,0.592299,0.491505,0.598482,0.510479,0.592292,0.466845,0.587657,0.488741,0.598412,0.510506,0.570778,0.431442,0.572353,0.431411,0.57078,0.431441,0.576986,0.428658,0.598426,0.513358,0.598453,0.513327,0.599967,0.507794,0.598435,0.516024,0.598426,0.513325,0.627553,0.510468,left
0.495668,0.417856,0.501776,0.420583,0.494142,0.420546,0.484951,0.442285,0.477237,0.458751,0.509435,0.420576,0.514067,0.445133,0.510963,0.466865,0.509484,0.447788,0.504847,0.447769,0.494152,0.469738,0.507869,0.507882,0.515612,0.447784,0.509523,0.485989,0.529414,0.513252,0.49407,0.415007,0.497181,0.412383,0.492546,0.417712,0.503303,0.409573,0.524808,0.518757,0.52789,0.518706,0.532471,0.513277,0.498769,0.518774,0.500234,0.515981,0.51097,0.510557,middle
0.42667,0.401345,0.434356,0.398753,0.428164,0.398679,0.411359,0.409669,0.399051,0.428748,0.44048,0.401345,0.454248,0.417815,0.455794,0.442279,0.443476,0.426064,0.435892,0.426053,0.423605,0.447924,0.423529,0.494127,0.448094,0.426103,0.431263,0.450571,0.438918,0.494172,0.425122,0.395976,0.429677,0.395967,0.423633,0.393322,0.434296,0.390519,0.428181,0.502307,0.431268,0.505094,0.440442,0.49965,0.411263,0.502359,0.411279,0.49696,0.425085,0.496989,middle
0.408254,0.425898,0.408251,0.43412,0.398978,0.434114,0.385209,0.450471,0.379093,0.461519,0.417476,0.434131,0.435811,0.439564,0.441961,0.464204,0.392895,0.477833,0.38678,0.475096,0.372931,0.496885,0.340786,0.518831,0.399033,0.480611,0.385255,0.499697,0.342309,0.524145,0.406712,0.423147,0.409816,0.423207,0.405123,0.420543,0.414342,0.423196,0.339242,0.521503,0.339192,0.52691,0.34074,0.516111,0.33768,0.524178,0.334634,0.516077,0.337696,0.518711,right
0.388293,0.42325,0.386744,0.434178,0.377539,0.426106,0.366842,0.445149,0.368333,0.455962,0.396008,0.442332,0.398992,0.464186,0.392877,0.458731,0.374534,0.472341,0.369862,0.46699,0.359126,0.477847,0.346825,0.513268,0.382132,0.475135,0.36373,0.483312,0.346885,0.507841,0.38678,0.420418,0.391368,0.420564,0.385227,0.415069,0.395951,0.423218,0.343827,0.521398,0.343818,0.524103,0.345349,0.507796,0.346852,0.524132,0.340742,0.518763,0.343804,0.515985,right
0.418922,0.425987,0.41743,0.431472,0.406685,0.425958,0.394416,0.447839,0.388324,0.466883,0.426685,0.439643,0.428184,0.469632,0.425137,0.499601,0.409799,0.461415,0.403632,0.45602,0.3837,0.469678,0.349971,0.49145,0.41745,0.466813,0.412871,0.47236,0.391342,0.499594,0.415897,0.420617,0.421993,0.423293,0.412792,0.417772,0.425115,0.423339,0.386748,0.516012,0.389793,0.516017,0.388288,0.496962,0.348449,0.505122,0.345351,0.496855,0.348406,0.491431,right
0.504839,0.415108,0.503285,0.409709,0.489504,0.406891,0.474222,0.423294,0.471121,0.445114,0.51708,0.415046,0.518699,0.442389,0.518706,0.47231,0.492574,0.442313,0.484889,0.436938,0.471114,0.466989,0.449646,0.488649,0.500234,0.445145,0.504894,0.461438,0.484982,0.48876,0.501776,0.409612,0.507887,0.40963,0.495712,0.404239,0.511041,0.406855,0.487982,0.502354,0.48801,0.499629,0.481858,0.486032,0.448109,0.499573,0.443494,0.491417,0.448096,0.486041,right
0.584604,0.398628,0.583027,0.387821,0.569285,0.387873,0.552378,0.409684,0.544796,0.442271,0.596869,0.387836,0.609112,0.415005,0.615285,0.445021,0.576987,0.409569,0.569267,0.409587,0.580006,0.439607,0.563116,0.491397,0.584662,0.409587,0.593775,0.436867,0.586111,0.488681,0.581589,0.390538,0.586187,0.39059,0.576943,0.385096,0.592265,0.385016,0.595361,0.505024,0.595373,0.499613,0.581514,0.49142,0.570837,0.50516,0.566186,0.50507,0.558559,0.494189,middle
0.606106,0.488637,0.603032,0.483277,0.589218,0.491527,0.572313,0.521481,0.569234,0.554253,0.615305,0.469642,0.633656,0.475067,0.647529,0.491542,0.609135,0.518758,0.601459,0.526861,0.616855,0.554279,0.632191,0.581535,0.618318,0.513254,0.633684,0.540576,0.655199,0.565192,0.603026,0.483302,0.607608,0.480617,0.595391,0.480523,0.610677,0.472325,0.661269,0.573349,0.662821,0.567808,0.655203,0.570624,0.642883,0.589716,0.636775,0.595029,0.635224,0.581532,left
0.621435,0.529551,0.624523,0.535164,0.612216,0.54599,0.61067,0.573294,0.61685,0.595129,0.63829,0.52696,0.649038,0.551506,0.650578,0.57603,0.638306,0.576077,0.630625,0.581531,0.64135,0.597895,0.656711,0.625064,0.645943,0.570615,0.661274,0.592451,0.692026,0.614244,0.618364,0.524213,0.62301,0.518788,0.612269,0.52417,0.629118,0.513318,0.690466,0.641472,0.696587,0.633293,0.698129,0.614211,0.65669,0.638775,0.655152,0.638775,0.661296,0.627888,left
0.575414,0.507782,0.573922,0.496971,0.558565,0.502425,0.549327,0.524134,0.549374,0.554226,0.590743,0.491482,0.609151,0.49413,0.607603,0.51605,0.581511,0.529557,0.572332,0.532449,0.572333,0.562434,0.59225,0.600681,0.58923,0.521478,0.592262,0.562469,0.622973,0.606054,0.570852,0.49971,0.578507,0.49962,0.566186,0.494291,0.583064,0.491531,0.618395,0.627823,0.627509,0.622403,0.629115,0.608777,0.592245,0.619644,0.587665,0.619575,0.596895,0.603234,left
0.506343,0.513225,0.507918,0.499612,0.492596,0.491553,0.475732,0.477782,0.471164,0.515973,0.521765,0.502412,0.540142,0.518676,0.537078,0.535145,0.506422,0.540502,0.497176,0.537755,0.489559,0.578666,0.480312,0.617003,0.514093,0.540631,0.511009,0.578711,0.506377,0.62518,0.50181,0.507821,0.507966,0.507743,0.495677,0.499682,0.515563,0.496993,0.492592,0.644187,0.500251,0.646918,0.506372,0.630588,0.474173,0.636061,0.47108,0.627894,0.481831,0.622348,middle
0.521675,0.562341,0.523294,0.55698,0.509463,0.543309,0.498716,0.578816,0.50486,0.592417,0.537035,0.573231,0.532503,0.614202,0.506423,0.641464,0.512515,0.600659,0.504852,0.595075,0.481816,0.636053,0.452696,0.665979,0.520253,0.60881,0.498734,0.657766,0.478752,0.706899,0.520162,0.554216,0.524821,0.55701,0.517083,0.540625,0.533962,0.554187,0.471082,0.726121,0.477248,0.731444,0.474213,0.706929,0.440451,0.695997,0.438892,0.682402,0.452694,0.66329,right
0.552373,0.529574,0.552387,0.524205,0.538613,0.513226,0.526322,0.537786,0.523275,0.554219,0.566178,0.535086,0.560088,0.567897,0.555498,0.578715,0.541624,0.559725,0.533987,0.554165,0.509451,0.586936,0.474206,0.614126,0.547763,0.570497,0.52787,0.600579,0.517111,0.627789,0.549342,0.518789,0.556974,0.524185,0.544785,0.50781,0.564656,0.516037,0.510965,0.644246,0.514103,0.649643,0.514094,0.62516,0.46962,0.633336,0.465018,0.625057,0.472632,0.611531,right
0.595411,0.529691,0.593851,0.529579,0.578495,0.515993,0.563182,0.551511,0.572342,0.559615,0.609199,0.537769,0.604517,0.578727,0.592317,0.578769,0.578523,0.562368,0.570786,0.556862,0.553961,0.587012,0.509507,0.619579,0.586166,0.570595,0.573849,0.600614,0.557034,0.625182,0.593858,0.521425,0.601489,0.52423,0.589207,0.510585,0.609112,0.518756,0.557044,0.644185,0.561576,0.644287,0.552394,0.622438,0.511023,0.644299,0.506405,0.638717,0.504844,0.614272,right
0.685869,0.554194,0.681229,0.543291,0.664404,0.535154,0.652074,0.573242,0.664378,0.584164,0.699608,0.554121,0.695052,0.597805,0.688869,0.595089,0.668959,0.562352,0.658261,0.554208,0.644421,0.608825,0.603039,0.657864,0.679658,0.57322,0.669007,0.619735,0.653641,0.668712,0.682834,0.546048,0.690447,0.548789,0.676622,0.532438,0.698068,0.540503,0.658219,0.698708,0.664382,0.693305,0.645927,0.668717,0.607569,0.690612,0.598455,0.682473,0.595355,0.657835,right
0.616846,0.554153,0.618289,0.540631,0.599967,0.537758,0.5938,0.586866,0.595373,0.589681,0.633681,0.548715,0.633656,0.60049,0.624457,0.608754,0.606094,0.535107,0.592312,0.532372,0.593783,0.616839,0.57997,0.685212,0.616862,0.543299,0.618409,0.622399,0.616818,0.687837,0.615311,0.546026,0.621387,0.55138,0.607631,0.53792,0.63059,0.543308,0.629056,0.717832,0.632192,0.709684,0.60915,0.693334,0.59226,0.709698,0.58307,0.709636,0.57386,0.693309,middle
0.530912,0.548808,0.52176,0.54322,0.506382,0.551449,0.507879,0.600602,0.518653,0.60603,0.541681,0.535161,0.549335,0.57336,0.547782,0.597845,0.520159,0.570499,0.504851,0.570555,0.520155,0.619721,0.523282,0.68792,0.530922,0.567838,0.54626,0.619739,0.558565,0.685047,0.5263,0.540561,0.532519,0.540544,0.515589,0.535075,0.538633,0.532334,0.575444,0.709642,0.579968,0.701542,0.555433,0.690673,0.544698,0.709708,0.534012,0.712481,0.52021,0.696089,middle
0.665861,0.488692,0.655193,0.477897,0.63366,0.488731,0.630575,0.565113,0.65978,0.606065,0.678169,0.469643,0.696635,0.52422,0.707303,0.600579,0.656696,0.505143,0.645979,0.510617,0.649052,0.537765,0.665906,0.611423,0.66748,0.499694,0.687377,0.532436,0.707315,0.616995,0.659759,0.480569,0.668953,0.475181,0.645985,0.472299,0.675148,0.456055,0.725738,0.641409,0.728818,0.630532,0.702748,0.633314,0.687377,0.630598,0.675093,0.638735,0.667437,0.622381,left
0.308521,0.578691,0.310057,0.589733,0.291673,0.586906,0.277827,0.622416,0.271766,0.660558,0.325436,0.59509,0.33303,0.641438,0.320803,0.674174,0.296238,0.644264,0.284045,0.641411,0.259435,0.687869,0.214942,0.73421,0.307008,0.64975,0.296245,0.685078,0.262578,0.736949,0.303951,0.570608,0.311659,0.570637,0.299295,0.567767,0.320847,0.567895,0.259447,0.753393,0.264088,0.75871,0.257909,0.739654,0.2058,0.756032,0.202657,0.747772,0.211901,0.73432,right
0.349995,0.535151,0.351493,0.537888,0.334597,0.532458,0.325387,0.567884,0.325373,0.592444,0.368357,0.543267,0.365284,0.586971,0.357596,0.611466,0.342315,0.581405,0.33308,0.578669,0.319285,0.616983,0.279426,0.649714,0.351526,0.584271,0.342269,0.622431,0.320838,0.657845,0.348392,0.52961,0.354572,0.532261,0.342305,0.518807,0.362227,0.526861,0.317731,0.665988,0.320846,0.668815,0.316234,0.65785,0.274811,0.665962,0.27018,0.655177,0.276357,0.649734,right
0.469617,0.436846,0.471114,0.442281,0.449688,0.442303,0.432817,0.483227,0.425091,0.526856,0.491012,0.439603,0.509409,0.485925,0.521733,0.532388,0.460389,0.491443,0.446617,0.491506,0.465019,0.524189,0.434288,0.578779,0.474147,0.491432,0.494131,0.510565,0.463462,0.589597,0.465025,0.428668,0.472678,0.426023,0.458886,0.423331,0.481825,0.420575,0.47882,0.605972,0.477256,0.600576,0.45735,0.595061,0.443532,0.597896,0.435849,0.595141,0.426636,0.581505,right
0.566235,0.344245,0.566181,0.35238,0.544747,0.357853,0.526351,0.404209,0.526364,0.445129,0.586189,0.344177,0.61227,0.36057,0.638331,0.387768,0.558564,0.417876,0.546242,0.420523,0.569329,0.466898,0.547855,0.535022,0.572307,0.417788,0.589261,0.464129,0.573891,0.540598,0.560129,0.338665,0.569328,0.336013,0.553973,0.335865,0.576989,0.330484,0.578464,0.551523,0.579986,0.551543,0.569308,0.548666,0.555503,0.548795,0.549308,0.546038,0.543234,0.537806,middle
0.5187,0.314127,0.515572,0.322297,0.49875,0.3333,0.480307,0.376962,0.481863,0.423194,0.530979,0.311449,0.555443,0.327734,0.575432,0.349601,0.517104,0.395952,0.506372,0.40148,0.532523,0.43692,0.549301,0.491406,0.526321,0.385157,0.547826,0.423339,0.56162,0.469653,0.514076,0.3087,0.521715,0.303319,0.506434,0.305984,0.527872,0.295182,0.566234,0.472335,0.569289,0.46961,0.560072,0.475042,0.557042,0.491421,0.553913,0.499617,0.550896,0.491481,middle
0.596859,0.28688,0.596911,0.297808,0.581554,0.308711,0.569257,0.360457,0.570864,0.39877,0.613768,0.289538,0.635273,0.295159,0.650593,0.325092,0.604583,0.354992,0.59382,0.360555,0.618378,0.371422,0.644395,0.415151,0.615301,0.344183,0.642859,0.371393,0.673598,0.414999,0.593772,0.278786,0.599943,0.276052,0.586165,0.278697,0.606075,0.273256,0.685851,0.423241,0.687373,0.417758,0.673604,0.423206,0.659743,0.423208,0.652093,0.426045,0.644454,0.420619,left
0.590756,0.300457,0.589226,0.308754,0.573926,0.322349,0.564633,0.371407,0.572316,0.404119,0.603061,0.295033,0.621419,0.31419,0.632125,0.335979,0.595353,0.360477,0.586124,0.368764,0.60304,0.374182,0.636791,0.415066,0.606055,0.349641,0.632161,0.374199,0.66741,0.409574,0.586119,0.295042,0.593757,0.292298,0.580027,0.295029,0.59692,0.284167,0.682804,0.423306,0.682814,0.415143,0.66744,0.417796,0.645987,0.426054,0.642852,0.428783,0.641328,0.420516,left
